"StichtagDatJahr","AlterV05Cd","AlterV05Lang","PLZ","AnzBestWir"
1993,0,"0- bis 4-Jährige","8001",137
1993,0,"0- bis 4-Jährige","8002",364
1993,0,"0- bis 4-Jährige","8003",982
1993,0,"0- bis 4-Jährige","8004",1249
1993,0,"0- bis 4-Jährige","8005",462
1993,0,"0- bis 4-Jährige","8006",662
1993,0,"0- bis 4-Jährige","8008",567
1993,0,"0- bis 4-Jährige","8032",568
1993,0,"0- bis 4-Jährige","8037",709
1993,0,"0- bis 4-Jährige","8038",696
1993,0,"0- bis 4-Jährige","8041",188
1993,0,"0- bis 4-Jährige","8044",263
1993,0,"0- bis 4-Jährige","8045",493
1993,0,"0- bis 4-Jährige","8046",919
1993,0,"0- bis 4-Jährige","8047",682
1993,0,"0- bis 4-Jährige","8048",1047
1993,0,"0- bis 4-Jährige","8049",834
1993,0,"0- bis 4-Jährige","8050",975
1993,0,"0- bis 4-Jährige","8051",952
1993,0,"0- bis 4-Jährige","8052",748
1993,0,"0- bis 4-Jährige","8053",370
1993,0,"0- bis 4-Jährige","8055",788
1993,0,"0- bis 4-Jährige","8057",785
1993,0,"0- bis 4-Jährige","8063",4
1993,0,"0- bis 4-Jährige","8064",185
1993,0,"0- bis 4-Jährige","8152",2
1993,0,"0- bis 4-Jährige","9999",6
1993,5,"5- bis 9-Jährige","8001",111
1993,5,"5- bis 9-Jährige","8002",258
1993,5,"5- bis 9-Jährige","8003",755
1993,5,"5- bis 9-Jährige","8004",1004
1993,5,"5- bis 9-Jährige","8005",350
1993,5,"5- bis 9-Jährige","8006",459
1993,5,"5- bis 9-Jährige","8008",431
1993,5,"5- bis 9-Jährige","8032",515
1993,5,"5- bis 9-Jährige","8037",550
1993,5,"5- bis 9-Jährige","8038",624
1993,5,"5- bis 9-Jährige","8041",213
1993,5,"5- bis 9-Jährige","8044",221
1993,5,"5- bis 9-Jährige","8045",499
1993,5,"5- bis 9-Jährige","8046",940
1993,5,"5- bis 9-Jährige","8047",641
1993,5,"5- bis 9-Jährige","8048",909
1993,5,"5- bis 9-Jährige","8049",740
1993,5,"5- bis 9-Jährige","8050",929
1993,5,"5- bis 9-Jährige","8051",880
1993,5,"5- bis 9-Jährige","8052",698
1993,5,"5- bis 9-Jährige","8053",379
1993,5,"5- bis 9-Jährige","8055",716
1993,5,"5- bis 9-Jährige","8057",628
1993,5,"5- bis 9-Jährige","8063",5
1993,5,"5- bis 9-Jährige","8064",222
1993,5,"5- bis 9-Jährige","8152",1
1993,5,"5- bis 9-Jährige","9999",5
1993,10,"10- bis 14-Jährige","8001",79
1993,10,"10- bis 14-Jährige","8002",252
1993,10,"10- bis 14-Jährige","8003",691
1993,10,"10- bis 14-Jährige","8004",907
1993,10,"10- bis 14-Jährige","8005",397
1993,10,"10- bis 14-Jährige","8006",474
1993,10,"10- bis 14-Jährige","8008",394
1993,10,"10- bis 14-Jährige","8032",492
1993,10,"10- bis 14-Jährige","8037",482
1993,10,"10- bis 14-Jährige","8038",574
1993,10,"10- bis 14-Jährige","8041",242
1993,10,"10- bis 14-Jährige","8044",242
1993,10,"10- bis 14-Jährige","8045",469
1993,10,"10- bis 14-Jährige","8046",902
1993,10,"10- bis 14-Jährige","8047",561
1993,10,"10- bis 14-Jährige","8048",882
1993,10,"10- bis 14-Jährige","8049",678
1993,10,"10- bis 14-Jährige","8050",834
1993,10,"10- bis 14-Jährige","8051",881
1993,10,"10- bis 14-Jährige","8052",664
1993,10,"10- bis 14-Jährige","8053",332
1993,10,"10- bis 14-Jährige","8055",790
1993,10,"10- bis 14-Jährige","8057",558
1993,10,"10- bis 14-Jährige","8063",2
1993,10,"10- bis 14-Jährige","8064",244
1993,10,"10- bis 14-Jährige","8142",2
1993,10,"10- bis 14-Jährige","9999",1
1993,15,"15- bis 19-Jährige","8001",165
1993,15,"15- bis 19-Jährige","8002",286
1993,15,"15- bis 19-Jährige","8003",831
1993,15,"15- bis 19-Jährige","8004",1140
1993,15,"15- bis 19-Jährige","8005",568
1993,15,"15- bis 19-Jährige","8006",577
1993,15,"15- bis 19-Jährige","8008",503
1993,15,"15- bis 19-Jährige","8032",577
1993,15,"15- bis 19-Jährige","8037",576
1993,15,"15- bis 19-Jährige","8038",563
1993,15,"15- bis 19-Jährige","8041",228
1993,15,"15- bis 19-Jährige","8044",285
1993,15,"15- bis 19-Jährige","8045",463
1993,15,"15- bis 19-Jährige","8046",807
1993,15,"15- bis 19-Jährige","8047",566
1993,15,"15- bis 19-Jährige","8048",909
1993,15,"15- bis 19-Jährige","8049",568
1993,15,"15- bis 19-Jährige","8050",972
1993,15,"15- bis 19-Jährige","8051",934
1993,15,"15- bis 19-Jährige","8052",678
1993,15,"15- bis 19-Jährige","8053",375
1993,15,"15- bis 19-Jährige","8055",732
1993,15,"15- bis 19-Jährige","8057",606
1993,15,"15- bis 19-Jährige","8063",54
1993,15,"15- bis 19-Jährige","8064",267
1993,15,"15- bis 19-Jährige","9999",12
1993,20,"20- bis 24-Jährige","8001",601
1993,20,"20- bis 24-Jährige","8002",677
1993,20,"20- bis 24-Jährige","8003",1885
1993,20,"20- bis 24-Jährige","8004",2437
1993,20,"20- bis 24-Jährige","8005",1188
1993,20,"20- bis 24-Jährige","8006",1582
1993,20,"20- bis 24-Jährige","8008",1293
1993,20,"20- bis 24-Jährige","8032",1394
1993,20,"20- bis 24-Jährige","8037",1420
1993,20,"20- bis 24-Jährige","8038",852
1993,20,"20- bis 24-Jährige","8041",274
1993,20,"20- bis 24-Jährige","8044",551
1993,20,"20- bis 24-Jährige","8045",660
1993,20,"20- bis 24-Jährige","8046",1313
1993,20,"20- bis 24-Jährige","8047",886
1993,20,"20- bis 24-Jährige","8048",1532
1993,20,"20- bis 24-Jährige","8049",999
1993,20,"20- bis 24-Jährige","8050",1649
1993,20,"20- bis 24-Jährige","8051",1443
1993,20,"20- bis 24-Jährige","8052",1013
1993,20,"20- bis 24-Jährige","8053",540
1993,20,"20- bis 24-Jährige","8055",1001
1993,20,"20- bis 24-Jährige","8057",1429
1993,20,"20- bis 24-Jährige","8063",177
1993,20,"20- bis 24-Jährige","8064",227
1993,20,"20- bis 24-Jährige","8142",2
1993,20,"20- bis 24-Jährige","9999",25
1993,25,"25- bis 29-Jährige","8001",779
1993,25,"25- bis 29-Jährige","8002",928
1993,25,"25- bis 29-Jährige","8003",2623
1993,25,"25- bis 29-Jährige","8004",3630
1993,25,"25- bis 29-Jährige","8005",1663
1993,25,"25- bis 29-Jährige","8006",2193
1993,25,"25- bis 29-Jährige","8008",1889
1993,25,"25- bis 29-Jährige","8032",1767
1993,25,"25- bis 29-Jährige","8037",2047
1993,25,"25- bis 29-Jährige","8038",1309
1993,25,"25- bis 29-Jährige","8041",319
1993,25,"25- bis 29-Jährige","8044",654
1993,25,"25- bis 29-Jährige","8045",844
1993,25,"25- bis 29-Jährige","8046",1545
1993,25,"25- bis 29-Jährige","8047",1263
1993,25,"25- bis 29-Jährige","8048",2230
1993,25,"25- bis 29-Jährige","8049",1503
1993,25,"25- bis 29-Jährige","8050",2088
1993,25,"25- bis 29-Jährige","8051",1800
1993,25,"25- bis 29-Jährige","8052",1296
1993,25,"25- bis 29-Jährige","8053",615
1993,25,"25- bis 29-Jährige","8055",1462
1993,25,"25- bis 29-Jährige","8057",1871
1993,25,"25- bis 29-Jährige","8063",117
1993,25,"25- bis 29-Jährige","8064",261
1993,25,"25- bis 29-Jährige","8142",1
1993,25,"25- bis 29-Jährige","9999",14
1993,30,"30- bis 34-Jährige","8001",566
1993,30,"30- bis 34-Jährige","8002",796
1993,30,"30- bis 34-Jährige","8003",2310
1993,30,"30- bis 34-Jährige","8004",3136
1993,30,"30- bis 34-Jährige","8005",1380
1993,30,"30- bis 34-Jährige","8006",1816
1993,30,"30- bis 34-Jährige","8008",1711
1993,30,"30- bis 34-Jährige","8032",1622
1993,30,"30- bis 34-Jährige","8037",1708
1993,30,"30- bis 34-Jährige","8038",1310
1993,30,"30- bis 34-Jährige","8041",292
1993,30,"30- bis 34-Jährige","8044",599
1993,30,"30- bis 34-Jährige","8045",827
1993,30,"30- bis 34-Jährige","8046",1461
1993,30,"30- bis 34-Jährige","8047",1241
1993,30,"30- bis 34-Jährige","8048",2178
1993,30,"30- bis 34-Jährige","8049",1639
1993,30,"30- bis 34-Jährige","8050",1852
1993,30,"30- bis 34-Jährige","8051",1632
1993,30,"30- bis 34-Jährige","8052",1218
1993,30,"30- bis 34-Jährige","8053",696
1993,30,"30- bis 34-Jährige","8055",1484
1993,30,"30- bis 34-Jährige","8057",1568
1993,30,"30- bis 34-Jährige","8063",59
1993,30,"30- bis 34-Jährige","8064",267
1993,30,"30- bis 34-Jährige","8152",1
1993,30,"30- bis 34-Jährige","9999",12
1993,35,"35- bis 39-Jährige","8001",472
1993,35,"35- bis 39-Jährige","8002",662
1993,35,"35- bis 39-Jährige","8003",1785
1993,35,"35- bis 39-Jährige","8004",2431
1993,35,"35- bis 39-Jährige","8005",1048
1993,35,"35- bis 39-Jährige","8006",1478
1993,35,"35- bis 39-Jährige","8008",1321
1993,35,"35- bis 39-Jährige","8032",1365
1993,35,"35- bis 39-Jährige","8037",1359
1993,35,"35- bis 39-Jährige","8038",1110
1993,35,"35- bis 39-Jährige","8041",298
1993,35,"35- bis 39-Jährige","8044",515
1993,35,"35- bis 39-Jährige","8045",724
1993,35,"35- bis 39-Jährige","8046",1407
1993,35,"35- bis 39-Jährige","8047",1074
1993,35,"35- bis 39-Jährige","8048",1803
1993,35,"35- bis 39-Jährige","8049",1362
1993,35,"35- bis 39-Jährige","8050",1589
1993,35,"35- bis 39-Jährige","8051",1444
1993,35,"35- bis 39-Jährige","8052",1044
1993,35,"35- bis 39-Jährige","8053",651
1993,35,"35- bis 39-Jährige","8055",1217
1993,35,"35- bis 39-Jährige","8057",1265
1993,35,"35- bis 39-Jährige","8063",39
1993,35,"35- bis 39-Jährige","8064",296
1993,35,"35- bis 39-Jährige","8152",1
1993,35,"35- bis 39-Jährige","9999",8
1993,40,"40- bis 44-Jährige","8001",427
1993,40,"40- bis 44-Jährige","8002",546
1993,40,"40- bis 44-Jährige","8003",1502
1993,40,"40- bis 44-Jährige","8004",1987
1993,40,"40- bis 44-Jährige","8005",920
1993,40,"40- bis 44-Jährige","8006",1283
1993,40,"40- bis 44-Jährige","8008",1179
1993,40,"40- bis 44-Jährige","8032",1286
1993,40,"40- bis 44-Jährige","8037",1073
1993,40,"40- bis 44-Jährige","8038",1010
1993,40,"40- bis 44-Jährige","8041",353
1993,40,"40- bis 44-Jährige","8044",502
1993,40,"40- bis 44-Jährige","8045",709
1993,40,"40- bis 44-Jährige","8046",1226
1993,40,"40- bis 44-Jährige","8047",969
1993,40,"40- bis 44-Jährige","8048",1683
1993,40,"40- bis 44-Jährige","8049",1318
1993,40,"40- bis 44-Jährige","8050",1366
1993,40,"40- bis 44-Jährige","8051",1337
1993,40,"40- bis 44-Jährige","8052",987
