Year,Canton (-) / District (>>) / Commune (......),Population on 1 January
2021,#NAME?,1553423
2021,>> Bezirk Affoltern,55839
2021,......0001 Aeugst am Albis,2014
2021,......0002 Affoltern am Albis,12289
2021,......0003 Bonstetten,5610
2021,......0004 Hausen am Albis,3801
2021,......0005 Hedingen,3795
2021,......0006 Kappel am Albis,1245
2021,......0007 Knonau,2369
2021,......0008 Maschwanden,641
2021,......0009 Mettmenstetten,5380
2021,......0010 Obfelden,5779
2021,......0011 Ottenbach,2704
2021,......0012 Rifferswil,1148
2021,......0013 Stallikon,3783
2021,......0014 Wettswil am Albis,5281
2021,>> Bezirk Andelfingen,31959
2021,......0021 Adlikon,693
2021,......0022 Benken (ZH),856
2021,......0023 Berg am Irchel,595
2021,......0024 Buch am Irchel,1022
2021,......0025 Dachsen,1917
2021,......0026 Dorf,666
2021,......0027 Feuerthalen,3697
2021,......0028 Flaach,1430
2021,......0029 Flurlingen,1552
2021,......0030 Andelfingen,2232
2021,......0031 Henggart,2293
2021,......0032 Humlikon,484
2021,......0033 Kleinandelfingen,2104
2021,......0034 Laufen-Uhwiesen,1779
2021,......0035 Marthalen,1933
2021,......0037 Ossingen,1724
2021,......0038 Rheinau,1287
2021,......0039 Thalheim an der Thur,949
2021,......0040 Trüllikon,1055
2021,......0041 Truttikon,449
2021,......0043 Volken,383
2021,......0292 Stammheim,2859
2021,>> Bezirk Bülach,156900
2021,......0051 Bachenbülach,4188
2021,......0052 Bassersdorf,11924
2021,......0053 Bülach,21998
2021,......0054 Dietlikon,7875
2021,......0055 Eglisau,5491
2021,......0056 Embrach,9610
2021,......0057 Freienstein-Teufen,2397
2021,......0058 Glattfelden,5266
2021,......0059 Hochfelden,2020
2021,......0060 Höri,2951
2021,......0061 Hüntwangen,1067
2021,......0062 Kloten,20429
2021,......0063 Lufingen,2562
2021,......0064 Nürensdorf,5628
2021,......0065 Oberembrach,1105
2021,......0066 Opfikon,20954
2021,......0067 Rafz,4628
2021,......0068 Rorbas,2885
2021,......0069 Wallisellen,17218
2021,......0070 Wasterkingen,568
2021,......0071 Wil (ZH),1488
2021,......0072 Winkel,4648
2021,>> Bezirk Dielsdorf,92079
2021,......0081 Bachs,613
2021,......0082 Boppelsen,1472
2021,......0083 Buchs (ZH),6555
2021,......0084 Dällikon,4278
2021,......0085 Dänikon,1846
2021,......0086 Dielsdorf,5968
2021,......0087 Hüttikon,951
2021,......0088 Neerach,3229
2021,......0089 Niederglatt,4938
2021,......0090 Niederhasli,9449
2021,......0091 Niederweningen,3089
2021,......0092 Oberglatt,7386
2021,......0093 Oberweningen,1897
2021,......0094 Otelfingen,2943
2021,......0095 Regensberg,459
2021,......0096 Regensdorf,18568
2021,......0097 Rümlang,8277
2021,......0098 Schleinikon,858
2021,......0099 Schöfflisdorf,1394
2021,......0100 Stadel,2336
2021,......0101 Steinmaur,3583
2021,......0102 Weiach,1990
2021,>> Bezirk Hinwil,97098
2021,......0111 Bäretswil,5052
2021,......0112 Bubikon,7371
2021,......0113 Dürnten,7645
2021,......0114 Fischenthal,2501
2021,......0115 Gossau (ZH),10282
2021,......0116 Grüningen,3716
2021,......0117 Hinwil,11354
2021,......0118 Rüti (ZH),12494
2021,......0119 Seegräben,1427
2021,......0120 Wald (ZH),10200
2021,......0121 Wetzikon (ZH),25056
